D_Governorate;D_GPCODE;D_District;D_DPCODE;D_Sub_District;D_SD_PCODE;D_Community;D_CPCODE;IDP_Flow_Estimation
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Hadath;C1198;110
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Olan;C1204;185
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Qabasin;C1209;300
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Qubbet Elsheikh;C1214;2280
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Sandi;C1248;35
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Ar-Ra'ee;C1250;2800
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Haji Wali;C1252;21
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Haji Kusa;C1253;25
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Misannah Bab;C1254;9
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Jbine;C1256;30
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Nahda;C1257;12
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Ameriyeh;C1260;30
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Tlilet Elbab;C1263;25
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Tal Eisheh;C1267;24
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Tal Elhawa;C1269;12
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Karsanli;C1274;25
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Qantaret Elbab;C1275;18
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Little Sukariyeh;C1322;50
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Jurneyyeh;C1327;1300
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;A'rima;C1329;735
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Ilan;C1331;100
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Sunbula - Saboyran;C1332;50
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Jeb Eldam Elbab;C1333;1200
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Thalabiyeh - Big Jqal;C1336;55
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Oruba Bab - Arab Wiran;C1338;1500
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Um Adae Ajami ;C1342;1200
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Shdar;C1343;18
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Shweiha ;C1344;600
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Barshaya;C1346;30
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Little Tafreeah;C1347;174
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Big Nabata;C1349;400
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Madiq Bu Azar;C1350;20
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Eskan;C1352;5
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Abin - Efrin;C1353;15
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Shawarghet Eljoz;C1356;12
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Ziyara Afrin;C1358;120
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Khaldiyet Afrin;C1364;18
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Afrin;C1366;60
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Baselhaya;C1371;5
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Jalma;C1424;78
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Jandairis;C1426;132
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Burj Kmush;C1428;12
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Tal Hamo;C1430;36
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Upper Diwan;C1431;30
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Zanda;C1438;12
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Eastern Eshkan;C1441;18
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Kafr Safra;C1449;28
Aleppo;SY02;Afrin;SY0203;Raju;SY020303;Beit Adin;C1473;11
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Ma'btali;C1552;90
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Yakhur - Ayki Yakhur;C1555;60
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Shmarekh;C1557;154
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Talil Elsham;C1559;126
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Ferziyeh;C1560;100
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Salama;C1561;1440
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Jarez;C1562;75
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Azaz;C1564;1805
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Krum;C1565;1860
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Shamarin;C1566;108
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Kafr Kalbein;C1568;336
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Yahmul;C1571;25
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Nayara;C1573;308
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Maarin;C1574;210
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Kaljibrin;C1575;91
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Khalfatli;C1576;175
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Bhorta;C1577;800
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Aziziyeh;C1578;35
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Zayadiyeh;C1579;125
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Bayada - Aq Burhan;C1580;15
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Akhtrein;C1581;2100
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Baruz;C1582;75
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Bleikha;C1583;50
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Abla;C1584;70
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Hardana;C1585;150
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Dweir Elhawa;C1586;20
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Oweilin;C1587;55
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Tweis;C1589;15
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Eastern Tal Aar;C1594;75
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Western Tal Aar;C1595;50
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Samuqet Aazaz;C1596;15
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Dabeq;C1597;225
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Eskar;C1598;20
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Jakkeh;C1600;75
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Eastern Tal Battal;C1601;25
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Tat Hims;C1602;100
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Ghorur;C1603;100
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Ein Elosud;C1604;15
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Turkman Bareh;C1605;1000
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Teltana;C1606;90
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Ghoz;C1607;75
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Gheilaniyeh;C1608;50
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Kardish;C1610;125
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Qazam - Qesset Jak;C1613;150
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Ghaytun;C1614;20
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Wash;C1615;45
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Qaar Kalbein;C1616;30
Aleppo;SY02;A'zaz;SY0204;Tall Refaat;SY020402;Masqan;C1627;40
Aleppo;SY02;A'zaz;SY0204;Mare';SY020403;Hiwar Elnahr;C1636;30
Aleppo;SY02;A'zaz;SY0204;Mare';SY020403;Kafr Elward;C1642;20
Aleppo;SY02;A'zaz;SY0204;Mare';SY020403;Mare';C1643;2625
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Yarobiyeh;C1657;35
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Zayzafun - Ekdeh;C1658;100
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Dweibeq;C1659;75
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Shweirin;C1660;25
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Hiwar Kalas;C1661;150
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Baraghideh;C1663;50
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Suran;C1664;2950
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Mreigel;C1670;60
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Kafr Barja;C1671;50
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Kafra;C1672;125
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Kafrshush;C1673;25
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Rasm Elmashrafeh;C1674;30
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Tal Yasti;C1676;24
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Btoshiyet Manbaj;C1677;6
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Asaliyeh;C1678;396
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Farat;C1679;30
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Little Osajli;C1682;5008
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Um Jalal;C1685;25
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Toq Elkhalil;C1686;90
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Big Osajli;C1687;4346
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Dandaniya;C1688;20
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Tal Rafei;C1689;143
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Amudiyeh;C1693;280
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Jeb Elhamam Sultan;C1695;85
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Khishfet Um Adaseh;C1696;911
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Jeb Elthor - Akrash;C1697;75
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Um Elsateh;C1700;20
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Tlilet Manbaj;C1705;200
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Big Jeb Elkalb;C1706;28
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Kherbet Nafakh;C1709;527
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Omriyeh;C1710;35
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Hamduniyeh;C1712;35
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Bir Kello;C1714;45
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Saan Elghazal - Buz Kij;C1715;599
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Khirfan;C1716;66
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Zornaqal;C1719;790
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Saidiyeh;C1720;1476
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Sultahiyeh;C1721;384
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Jeb Elarus;C1722;30
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Mahsana - Bak Weiran;C1723;923
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Himar Jis;C1725;1200
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Hamran;C1727;65
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Halisiyeh;C1728;28
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Ein Elnakhil;C1729;90
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Um Adaset Elfarat;C1730;715
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Big Hayyeh;C1731;45
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Little Kharufiyeh;C1733;52
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Um Myal Jafatlak;C1734;3667
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Um Myal Miri;C1736;400
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Sayada;C1737;30
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Mankubeh;C1738;45
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Rasm Elakhdar;C1739;20
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Janat Abu Jadha Jarkas;C1745;500
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Kabiret Manbaj - Bashli;C1748;30
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Big Tahna;C1749;1017
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Sheikh Yehya;C1750;42
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Abu Tawil;C1751;51
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Big Kharufiyeh;C1754;45
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Hajar Abyad;C1755;63
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Abu Kahf;C1757;900
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Big Abu Jadha ;C1759;33
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Tayha;C1760;65
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Little Jern;C1761;20
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Hudhud;C1764;85
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Manther Eljarf;C1766;102
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Karsan;C1768;24
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Qanat Elghrra;C1769;886
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Qatmet Manbaj - Qatma;C1771;682
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Middle Warideh;C1774;25
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Mashrafet Elbweir;C1775;584
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Nahliya - Nahliya;C1776;1900
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Nejem Castle;C1777;12
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Bir Quraa;C1779;182
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Little Madneh;C1780;18
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Big Madneh;C1781;18
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Big Mohtaraq;C1782;1314
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Big Kaber - Big Kaberjeh;C1783;36
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Little Mohtaraq;C1784;121
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Maqtala;C1787;35
Aleppo;SY02;Menbij;SY0205;Menbij;SY020500;Moaysera;C1789;108
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Himar Labda;C1796;30
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Khofiyet Abu Qalqal;C1797;55
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Abu Qalqal;C1798;336
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Shjif Dahabiyeh;C1806;30
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Jeifiyet Elmashi ;C1807;70
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Hizeh;C1808;36
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Jeb Eltawil;C1811;25
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Kherbet Elsawda Manbaj;C1812;50
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Kherbet Elrus;C1814;48
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Kherbet Bashar;C1816;20
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Jeb Hassan Agha;C1819;25
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Kherbet Zamala;C1820;18
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Jeb Hamza;C1822;63
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Jeb Sheikh Obeid;C1823;30
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Lower Qana;C1824;15
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Qanaqebli;C1826;10
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Mahshiet Eltawahin;C1828;18
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Big Fors;C1830;40
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Mahshiet Elsheikh Obeid;C1832;55
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Qeshlet Yusef Basha;C1834;55
Aleppo;SY02;Menbij;SY0205;Abu Qalqal;SY020501;Nmuqbilet Hassan Agha;C1835;108
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Kherbet Barguth;C1838;18
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Rasm Elahmar;C1841;500
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Upper Nasriyeh;C1842;300
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Ghadini;C1845;500
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Little Aruda;C1846;500
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Jeb Qahwa;C1847;450
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Kherbet Elkhathdraf;C1851;500
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Big Rasm Elharmal;C1852;250
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Ras El Ein Homor;C1855;35
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Abaja;C1857;500
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Sheikh Abyad;C1858;350
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Abu Hanaya;C1864;18
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Little Western Rasm Elkhamis;C1867;42
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Rasm Abbud Jaftalak;C1873;21
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Kasra;C1876;35
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Dakhireh;C1878;20
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Khofiyet Elhomor;C1880;250
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Rasm Elhamam Miri;C1882;100
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Big Arbaa ;C1883;100
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Big Sheib Elhomor;C1884;400
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Mahsana Khefseh;C1886;70
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Little Habbuba;C1888;100
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Shajra;C1889;100
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Kherbet Salameh;C1890;85
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Tal Hassan;C1891;96
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Dreisiyeh;C1893;100
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Al-Khafsa;C1894;4000
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Tal Aswad;C1895;150
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Kisumeh;C1897;70
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Kherbet Shihab ;C1899;60
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Tabara Kalash;C1900;100
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Big Drubiyeh;C1901;125
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Big Habbuba;C1902;100
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Kiyariya;C1904;125
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Big Qobab;C1905;110
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Mazyunet Eljaberi;C1906;500
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Mazyunet Elhomor;C1907;350
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Big Maarada;C1908;350
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Majmaa Mbaqer Maskana;C1909;250
Aleppo;SY02;Menbij;SY0205;Al-Khafsa;SY020502;Little Qobab;C1910;72
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Rasm Elbokhar;C1917;42
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Tal Totun;C1918;30
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Hamra;C1919;70
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Big Raddeh;C1920;30
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Kherbet Salib;C1922;18
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Neimiyeh;C1923;45
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Muftahiyeh;C1924;50
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Hurriyeh;C1925;65
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Shahda;C1926;30
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Rajm Elaqraa;C1929;60
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Khan Elshaar;C1930;24
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Ras El Ein Bumane;C1931;132
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Maskana - Onaiza;C1933;960
Aleppo;SY02;Menbij;SY0205;Maskana;SY020503;Madinet Elghar;C1935;135
Aleppo;SY02;Ain Al Arab;SY0206;Sarin;SY020602;Jableh - Berdag;C2063;15
Aleppo;SY02;Ain Al Arab;SY0206;Sarin;SY020602;Sarin;C2074;35
Aleppo;SY02;Jarablus;SY0208;Jarablus;SY020800;Tal Elamara;C2213;15
Aleppo;SY02;Jarablus;SY0208;Jarablus;SY020800;Halawanji;C2214;40
